orig_name,new_name,color,type,source,old_slug,new_slug,local_img
Sahara Noir,Notturno Sahariano,black,marble,marmo,sahara-noir,notturno-sahariano,
Rosso Palissandro,Petalo Antico,pink,marble,marmo,rosso-palissandro,petalo-antico,
Rosso Orobico,Corallo Lustro,red,marble,marmo,rosso-orobico,corallo-lustro,
Rosso Levanto,Fiamma Regale,red,marble,marmo,rosso-levanto,fiamma-regale,
Portoro Gold,Nero Dorato,black,marble,marmo,portoro-gold,nero-dorato,
Polaris,Crystal Polare,white,marble,marmo,polaris,crystal-polare,
Palisandro,Petal Finissimo,pink,marble,marmo,palisandro,petal-finissimo,
Panda White,Ghiaccio Lustro,white,marble,marmo,panda-white,ghiaccio-lustro,
Obama,Teak Prezioso,brown,marble,marmo,obama,teak-prezioso,
Manhattan Grey,Silver Venato,grey,marble,marmo,manhattan-grey,silver-venato,
Grigio Carnico,Ash Magnifico,grey,marble,marmo,grigio-carnico,ash-magnifico,
Grey Saint Laurent,Pietra Imperiale,grey,marble,marmo,grey-saint-laurent,pietra-imperiale,
Grey Serpeggiante,Ardesia Classico,grey,marble,marmo,grey-serpeggiante,ardesia-classico,
Galaxy White,Lunare Galattico,white,marble,marmo,galaxy-white,lunare-galattico,
Forest Green,Verde Selvatico,green,marble,marmo,forest-green,verde-selvatico,
Forest Brown,Walnut Selvatico,brown,marble,marmo,forest-brown,walnut-selvatico,
Fior Di Bosco,Steel Supremo,grey,marble,marmo,fior-di-bosco,steel-supremo,
Fior De Pesco,Ash Brillante,grey,marble,marmo,fior-de-pesco,ash-brillante,
Daino,Linen Regale,cream,marble,marmo,daino,linen-regale,
Calcite Blue,Indigo Puro,blue,marble,marmo,calcite-blue,indigo-puro,
Crema Marfill,Candido Crema,cream,marble,marmo,crema-marfill,candido-crema,
Calacatta Viola,Alpine Calacatta,white,marble,marmo,calacatta-viola,alpine-calacatta,
Calacatta Bluetto,Marina Calacatta,blue,marble,marmo,calacatta-bluetto,marina-calacatta,
Calacatta Armani,Lunare Calacatta,white,marble,marmo,calacatta-armani,lunare-calacatta,
Brecia Macchia Vecchia,Grigio Venato,grey,marble,marmo,brecia-macchia-vecchia,grigio-venato,
Botticino Classico,Sand Botticino,beige,marble,marmo,botticino-classico,sand-botticino,
Nero Marquina,Obsidian Marquina,black,marble,marmo,nero-marquina,obsidian-marquina,
Bianco Venato,Alpine Venato,white,marble,marmo,bianco-venato,alpine-venato,
Bianco Carrara,Neve Carrara,white,marble,marmo,bianco-carrara,neve-carrara,
Bardiglio Carrara,Silver Carrara,grey,marble,marmo,bardiglio-carrara,silver-carrara,
Arabescato White,Lunare Arabescato,white,marble,marmo,arabescato-white,lunare-arabescato,
Arabescato Orobico,Pietra Arabescato,grey,marble,marmo,arabescato-orobico,pietra-arabescato,
Arabescato Corchia,Ghiaccio Arabescato,white,marble,marmo,arabescato-corchia,ghiaccio-arabescato,
Arabescato Carrara,Lunare Carrara,white,marble,marmo,arabescato-carrara,lunare-carrara,
Ajax (Volakas Gold),Bianco Dorato,white,marble,marmo,ajax-volakas-gold,bianco-dorato,
