orig_name,new_name,color,type,source,old_slug,new_slug,local_img
Rapalano Iron,Espresso Classico,brown,travertine,hmg,rapalano-iron,espresso-classico,images/0143_Rapalano_Iron.jpg
Copper,Teak Bronzato,brown,travertine,hmg,copper,teak-bronzato,images/0144_Copper.jpg
Saint Andriao,Chestnut Romano,brown,travertine,hmg,saint-andriao,chestnut-romano,images/0145_Saint_Andriao.jpg
Titanium,Bronze Antiqua,brown,travertine,hmg,titanium,bronze-antiqua,images/0146_Titanium.jpg
Yellow,Aureo Heritage,yellow,travertine,hmg,yellow,aureo-heritage,images/0147_Yellow.jpg
Bronze Zuccaria,Mogano Bronzato,brown,shellstone,hmg,bronze-zuccaria,mogano-bronzato,images/0148_Bronze_Zuccaria.jpg
Brown fossil,Castagno Fossile,brown,shellstone,hmg,brown-fossil,castagno-fossile,images/0149_Brown_fossil.jpg
Bronze Zuccaria Areka Finish,Marrone Bronzato,brown,shellstone,hmg,bronze-zuccaria-areka-finish,marrone-bronzato,images/0150_Bronze_Zuccaria_Areka_Finish.jpg
Bronze Zuccaria,Walnut Bronzato,brown,shellstone,hmg,bronze-zuccaria,walnut-bronzato,images/0151_Bronze_Zuccaria.jpg
Mint Hydro Finish,Arctic Basin,white,sandstone,hmg,mint-hydro-finish,arctic-basin,images/0152_Mint_Hydro_Finish.jpg
Mint Ribbed Finish,Alpine Plateau,white,sandstone,hmg,mint-ribbed-finish,alpine-plateau,images/0153_Mint_Ribbed_Finish.jpg
Mint Scratch Finish,Polar Arroya,white,sandstone,hmg,mint-scratch-finish,polar-arroya,images/0154_Mint_Scratch_Finish.jpg
Mint Cypress Finish,Snow Steppe,white,sandstone,hmg,mint-cypress-finish,snow-steppe,images/0155_Mint_Cypress_Finish.jpg
Mint Hydro With Cypress Finish,Pearl Badlands,white,sandstone,hmg,mint-hydro-with-cypress-finish,pearl-badlands,images/0156_Mint_Hydro_With_Cypress_Finish.jpg
Mint Areka Finish,Neve Savanna,white,sandstone,hmg,mint-areka-finish,neve-savanna,images/0157_Mint_Areka_Finish.jpg
Algerian Gold,Mogano Dorato,brown,sandstone,hmg,algerian-gold,mogano-dorato,images/0158_Algerian_Gold.jpg
Teakwood Cypress Finish,Castagno Mogano,brown,sandstone,hmg,teakwood-cypress-finish,castagno-mogano,images/0159_Teakwood_Cypress_Finish.jpg
Rainbow Teak Aqua Jet Finish,Marrone Pluviale,brown,sandstone,hmg,rainbow-teak-aqua-jet-finish,marrone-pluviale,images/0160_Rainbow_Teak_Aqua_Jet_Finish.jpg
Teak Wood Aqua Jet Finish,Walnut Mogano,brown,sandstone,hmg,teak-wood-aqua-jet-finish,walnut-mogano,images/0161_Teak_Wood_Aqua_Jet_Finish.jpg
Teakwood Baby Bamboo Finish,Mocha Bambuseto,brown,sandstone,hmg,teakwood-baby-bamboo-finish,mocha-bambuseto,images/0162_Teakwood_Baby_Bamboo_Finish.jpg
Teakwood Combo Finish,Espresso Mogano,brown,sandstone,hmg,teakwood-combo-finish,espresso-mogano,images/0163_Teakwood_Combo_Finish.jpg
Rainbow Teak Cypess Finish,Teak Pluviale,brown,sandstone,hmg,rainbow-teak-cypess-finish,teak-pluviale,images/0164_Rainbow_Teak_Cypess_Finish.jpg
Teakwood Cypress Finish,Chestnut Mogano,brown,sandstone,hmg,teakwood-cypress-finish,chestnut-mogano,images/0165_Teakwood_Cypress_Finish.jpg
Teakwood Ribbon Finish,Bronze Mogano,brown,sandstone,hmg,teakwood-ribbon-finish,bronze-mogano,images/0166_Teakwood_Ribbon_Finish.jpg
Teakwood Ribbon Finish 2,Noce Mogano,brown,sandstone,hmg,teakwood-ribbon-finish-2,noce-mogano,images/0167_Teakwood_Ribbon_Finish_2.jpg
Rainbow Teak Scratch Finish,Mogano Pluviale,brown,sandstone,hmg,rainbow-teak-scratch-finish,mogano-pluviale,images/0168_Rainbow_Teak_Scratch_Finish.jpg
Teakwood Scratch Finish,Mocha Mogano,brown,sandstone,hmg,teakwood-scratch-finish,mocha-mogano,images/0169_Teakwood_Scratch_Finish.jpg
Teakwood Scratch Roller Finish,Marrone Mogano,brown,sandstone,hmg,teakwood-scratch-roller-finish,marrone-mogano,images/0170_Teakwood_Scratch_Roller_Finish.jpg
Rainbow Teak Scratch Roller Finish,Walnut Pluviale,brown,sandstone,hmg,rainbow-teak-scratch-roller-finish,walnut-pluviale,images/0171_Rainbow_Teak_Scratch_Roller_Finish.jpg
Teakwood Liner Finish,Mogano Mogano,brown,sandstone,hmg,teakwood-liner-finish,mogano-mogano,images/0172_Teakwood_Liner_Finish.jpg
French,Smoke Marina,grey,limestone,hmg,french,smoke-marina,images/0173_French.jpg
NS,Steel Faro,grey,limestone,hmg,ns,steel-faro,images/0174_NS.jpg
Classic,Silver Classico,grey,limestone,hmg,classic,silver-classico,images/0175_Classic.jpg
French Hond Finish,Ash Shoreline,grey,limestone,hmg,french-hond-finish,ash-shoreline,images/0176_French_Hond_Finish.jpg
Leo Mocca Areka Finish,Pietra Clifftop,grey,limestone,hmg,leo-mocca-areka-finish,pietra-clifftop,images/0177_Leo_Mocca_Areka_Finish.jpg
Sunny,Mandorla Solare,cream,limestone,hmg,sunny,mandorla-solare,images/0178_Sunny.jpg
Sunny - Areka Finish,Candido Solare,cream,limestone,hmg,sunny---areka-finish,candido-solare,images/0179_Sunny_-_Areka_Finish.jpg
Sunny Shot Blast Finish,Avorio Solare,cream,limestone,hmg,sunny-shot-blast-finish,avorio-solare,images/0180_Sunny_Shot_Blast_Finish.jpg
Sand Beige,Ivory Sediment,cream,limestone,hmg,sand-beige,ivory-sediment,images/0181_Sand_Beige.jpg
Sand Beige Shot Blast Finish,Vanilla Stratum,cream,limestone,hmg,sand-beige-shot-blast-finish,vanilla-stratum,images/0182_Sand_Beige_Shot_Blast_Finish.jpg
Portugal,Champagne Laguna,cream,limestone,hmg,portugal,champagne-laguna,images/0183_Portugal.jpg
Portugal Shot Blast Finish,Linen Reef,cream,limestone,hmg,portugal-shot-blast-finish,linen-reef,images/0184_Portugal_Shot_Blast_Finish.jpg
Rockefeller Emerald,Fern Smeraldo,green,quartzite,hmg,rockefeller-emerald,fern-smeraldo,images/0185_Rockefeller_Emerald.jpg
Alpinus,Ash Fulgente,grey,quartzite,hmg,alpinus,ash-fulgente,images/0186_Alpinus.jpg
Columbian Emerald,Noce Smeraldo,brown,quartzite,hmg,columbian-emerald,noce-smeraldo,images/0187_Columbian_Emerald.jpg
Vitreum,Bosco Nitido,green,quartzite,hmg,vitreum,bosco-nitido,images/0188_Vitreum.jpg
Bacauraojo,Oro Scintilla,gold,quartzite,hmg,bacauraojo,oro-scintilla,images/0189_Bacauraojo.jpg
Cattle Egret,Dorato Cristallo,gold,quartzite,hmg,cattle-egret,dorato-cristallo,images/0190_Cattle_Egret.jpg
Kardia,Crimson Gem,red,quartzite,hmg,kardia,crimson-gem,images/0191_Kardia.jpg
Golden Alba,Honey Prisma,gold,quartzite,hmg,golden-alba,honey-prisma,images/0192_Golden_Alba.jpg
Summer Tanager,Garnet Vein,red,quartzite,hmg,summer-tanager,garnet-vein,images/0193_Summer_Tanager.jpg
Pied Kingfisher,Teak Fusion,brown,quartzite,hmg,pied-kingfisher,teak-fusion,images/0194_Pied_Kingfisher.jpg
Bianco Corella,Zolfo Sparkle,yellow,quartzite,hmg,bianco-corella,zolfo-sparkle,images/0195_Bianco_Corella.jpg
Blu Tramonto,Solar Tramonto,gold,quartzite,hmg,blu-tramonto,solar-tramonto,images/0196_Blu_Tramonto.jpg
Kiwano,Aurum Facet,gold,quartzite,hmg,kiwano,aurum-facet,images/0197_Kiwano.jpg
Blu Tramonto,Miele Tramonto,gold,quartzite,hmg,blu-tramonto,miele-tramonto,images/0198_Blu_Tramonto.jpg
Panthera Pardus,Grano Maculato,yellow,quartzite,hmg,panthera-pardus,grano-maculato,images/0199_Panthera_Pardus.jpg
Polar Ice Berg,Grigio Cristallo,grey,quartzite,hmg,polar-ice-berg,grigio-cristallo,images/0200_Polar_Ice_Berg.jpg
Azul Bahia,Storm Gem,grey,quartzite,hmg,azul-bahia,storm-gem,images/0201_Azul_Bahia.jpg
Bleu Damesfly,Aegean Prisma,blue,quartzite,hmg,bleu-damesfly,aegean-prisma,images/0202_Bleu_Damesfly.jpg
Soda Light,Pacific Vein,blue,quartzite,hmg,soda-light,pacific-vein,images/0203_Soda_Light.jpg
Soda Light 2,Cobalt Fusion,blue,quartzite,hmg,soda-light-2,cobalt-fusion,images/0204_Soda_Light_2.jpg
Fusion,Saffron Sparkle,gold,quartzite,hmg,fusion,saffron-sparkle,images/0205_Fusion.jpg
Giada Super Exotica,Malachite Esotico,green,quartzite,hmg,giada-super-exotica,malachite-esotico,images/0206_Giada_Super_Exotica.jpg
Verde Scapularis,Smeraldo Facet,green,quartzite,hmg,verde-scapularis,smeraldo-facet,images/0207_Verde_Scapularis.jpg
Verde Lapponia,Bosco Radiant,green,quartzite,hmg,verde-lapponia,bosco-radiant,images/0208_Verde_Lapponia.jpg
Golden Botanica,Giada Lumina,green,quartzite,hmg,golden-botanica,giada-lumina,images/0209_Golden_Botanica.jpg
Botanica,Verde Brillante,green,quartzite,hmg,botanica,verde-brillante,images/0210_Botanica.jpg
Treron,Emerald Fulgente,green,quartzite,hmg,treron,emerald-fulgente,images/0211_Treron.jpg
Oleander Hawk,Jade Risplendente,green,quartzite,hmg,oleander-hawk,jade-risplendente,images/0212_Oleander_Hawk.jpg
Verde Lapponia,Forest Nitido,green,quartzite,hmg,verde-lapponia,forest-nitido,images/0213_Verde_Lapponia.jpg
Verde Murina,Sage Scintilla,green,quartzite,hmg,verde-murina,sage-scintilla,images/0214_Verde_Murina.jpg
Colacasia,Fern Cristallo,green,quartzite,hmg,colacasia,fern-cristallo,images/0215_Colacasia.jpg
Ferro Corroso,Bronze Gem,brown,quartzite,hmg,ferro-corroso,bronze-gem,images/0216_Ferro_Corroso.jpg
Badger,Pietra Prisma,grey,quartzite,hmg,badger,pietra-prisma,images/0217_Badger.jpg
Badger 2,Mogano Vein,brown,quartzite,hmg,badger-2,mogano-vein,images/0218_Badger_2.jpg
Legno Arco Baleno,Oro Fusion,gold,quartzite,hmg,legno-arco-baleno,oro-fusion,images/0219_Legno_Arco_Baleno.jpg
Magma Gold,Dorato Dorato,gold,quartzite,hmg,magma-gold,dorato-dorato,images/0220_Magma_Gold.jpg
Marron Checkerspot,Golden Glimmer,gold,quartzite,hmg,marron-checkerspot,golden-glimmer,images/0221_Marron_Checkerspot.jpg
Mauna Lao,Honey Facet,gold,quartzite,hmg,mauna-lao,honey-facet,images/0222_Mauna_Lao.jpg
Nero Swan,Smoke Radiant,grey,quartzite,hmg,nero-swan,smoke-radiant,images/0223_Nero_Swan.jpg
Albino Betta Dolomite,Linen Snowfield,cream,dolomite,hmg,albino-betta-dolomite,linen-snowfield,images/0224_Albino_Betta_Dolomite.jpg
Dove White Dolomite,Snow Serac,white,dolomite,hmg,dove-white-dolomite,snow-serac,images/0225_Dove_White_Dolomite.jpg
Jasmine Dolomite,Solare Ghiaccio,yellow,dolomite,hmg,jasmine-dolomite,solare-ghiaccio,images/0226_Jasmine_Dolomite.jpg
White on White Lavabo,Antico Vulcanico,unknown,unknown,hmg,white-on-white-lavabo,antico-vulcanico,images/0227_White_on_White_Lavabo.jpg
Aspro European Cut,Heritage Pregiato,unknown,unknown,hmg,aspro-european-cut,heritage-pregiato,images/0228_Aspro_European_Cut.jpg
Aspro Lavabo Extra,Grand Vulcanico,unknown,unknown,hmg,aspro-lavabo-extra,grand-vulcanico,images/0229_Aspro_Lavabo_Extra.jpg
Aspro Trumpeter Lavabo,Lusso Vulcanico,unknown,unknown,hmg,aspro-trumpeter-lavabo,lusso-vulcanico,images/0230_Aspro_Trumpeter_Lavabo.jpg
Catamaran,Elegante Nobile,unknown,unknown,hmg,catamaran,elegante-nobile,images/0231_Catamaran.jpg
Indus Lava,Imperial Vulcanico,unknown,unknown,hmg,indus-lava,imperial-vulcanico,images/0232_Indus_Lava.jpg
Bez Lavabo,Nobile Vulcanico,unknown,unknown,hmg,bez-lavabo,nobile-vulcanico,images/0233_Bez_Lavabo.jpg
Bez Lavabo,Regio Vulcanico,unknown,unknown,hmg,bez-lavabo,regio-vulcanico,images/0234_Bez_Lavabo.jpg
Brown Shrike Lavabo,Classic Vulcanico,unknown,unknown,hmg,brown-shrike-lavabo,classic-vulcanico,images/0235_Brown_Shrike_Lavabo.jpg
Foglia Secca Lavabo,Prestige Nebuloso,unknown,unknown,hmg,foglia-secca-lavabo,prestige-nebuloso,images/0236_Foglia_Secca_Lavabo.jpg
Inchiastro Lavabo,Prestige Vulcanico,unknown,unknown,hmg,inchiastro-lavabo,prestige-vulcanico,images/0237_Inchiastro_Lavabo.jpg
Diaspro Lavabo,Heritage Vulcanico,unknown,unknown,hmg,diaspro-lavabo,heritage-vulcanico,images/0238_Diaspro_Lavabo.jpg
Golden Ocra Round,Grand Heritage,unknown,unknown,hmg,golden-ocra-round,grand-heritage,images/0239_Golden_Ocra_Round.jpg
Giallo Lavabo,Elegante Vulcanico,unknown,unknown,hmg,giallo-lavabo,elegante-vulcanico,images/0240_Giallo_Lavabo.jpg
Brown Sugar Onyx Lavabo,Elegante Opalino,unknown,unknown,hmg,brown-sugar-onyx-lavabo,elegante-opalino,images/0241_Brown_Sugar_Onyx_Lavabo.jpg
Golden Ocra Oval,Imperial Esclusivo,unknown,unknown,hmg,golden-ocra-oval,imperial-esclusivo,images/0242_Golden_Ocra_Oval.jpg
Golden Rain Forest Lavabo,Nobile Selvatico,unknown,unknown,hmg,golden-rain-forest-lavabo,nobile-selvatico,images/0243_Golden_Rain_Forest_Lavabo.jpg
Nero Sea Bass Lavabo,Regio Oceano,unknown,unknown,hmg,nero-sea-bass-lavabo,regio-oceano,images/0244_Nero_Sea_Bass_Lavabo.jpg
Coloumbian Noir II,Classic Lusso,unknown,unknown,hmg,coloumbian-noir-ii,classic-lusso,images/0245_Coloumbian_Noir_II.jpg
Aspro Diamond Cylindro,Prestige Nobile,unknown,unknown,hmg,aspro-diamond-cylindro,prestige-nobile,images/0246_Aspro_Diamond_Cylindro.jpg
Creme Brulee Cylindro,Antico Prestige,unknown,unknown,hmg,creme-brulee-cylindro,antico-prestige,images/0247_Creme_Brulee_Cylindro.jpg
Creme Brulee Cylindro,Heritage Grand,unknown,unknown,hmg,creme-brulee-cylindro,heritage-grand,images/0248_Creme_Brulee_Cylindro.jpg
Mildew Algae,Grand Elite,unknown,unknown,hmg,mildew-algae,grand-elite,images/0249_Mildew_Algae.jpg
Verde Antique Lavabo,Lusso Vulcanico II,unknown,unknown,hmg,verde-antique-lavabo,lusso-vulcanico-ii,images/0250_Verde_Antique_Lavabo.jpg
Amarone Lavabo Dark,Elegante Vulcanico II,unknown,unknown,hmg,amarone-lavabo-dark,elegante-vulcanico-ii,images/0251_Amarone_Lavabo_Dark.jpg
Aspro Ocra,Imperial Regal,unknown,unknown,hmg,aspro-ocra,imperial-regal,images/0252_Aspro_Ocra.jpg
Hydro Finish,Nobile Artisan,unknown,unknown,hmg,hydro-finish,nobile-artisan,images/0253_Hydro_Finish.jpg
Ribbed Finish,Regio Heritage,unknown,unknown,hmg,ribbed-finish,regio-heritage,images/0254_Ribbed_Finish.jpg
Cypress Finish,Classic Raffinato,unknown,unknown,hmg,cypress-finish,classic-raffinato,images/0255_Cypress_Finish.jpg
Hydro with Cypress Finish,Prestige Distinto,unknown,unknown,hmg,hydro-with-cypress-finish,prestige-distinto,images/0256_Hydro_with_Cypress_Finish.jpg
Areka Finish,Antico Esclusivo,unknown,unknown,hmg,areka-finish,antico-esclusivo,images/0257_Areka_Finish.jpg
Aqua Jet Finish,Elegante Distinto,unknown,unknown,hmg,aqua-jet-finish,elegante-distinto,images/0258_Aqua_Jet_Finish.jpg
Baby Bamboo Finish,Grand Bambuseto,unknown,unknown,hmg,baby-bamboo-finish,grand-bambuseto,images/0259_Baby_Bamboo_Finish.jpg
Combo Finish,Lusso Lusso,unknown,unknown,hmg,combo-finish,lusso-lusso,images/0260_Combo_Finish.jpg
Ribbon Finish,Regio Eccellente,unknown,unknown,hmg,ribbon-finish,regio-eccellente,images/0261_Ribbon_Finish.jpg
Scratch Finish,Imperial Prestige,unknown,unknown,hmg,scratch-finish,imperial-prestige,images/0262_Scratch_Finish.jpg
Scratch Roller Finish,Nobile Grand,unknown,unknown,hmg,scratch-roller-finish,nobile-grand,images/0263_Scratch_Roller_Finish.jpg
Liner Finish,Regio Elite,unknown,unknown,hmg,liner-finish,regio-elite,images/0264_Liner_Finish.jpg
BLACK BEAUTY,Oscuro Mountain,black,granite,marmo,black-beauty,oscuro-mountain,
LOTUS BEIGE,Cashmere Brillante,beige,marble,marmo,lotus-beige,cashmere-brillante,
ARABESCATO BLACK,Ebano Arabescato,black,marble,marmo,arabescato-black,ebano-arabescato,
DARK EMPERADOR,Mogano Imperiale,brown,marble,marmo,dark-emperador,mogano-imperiale,
EMERALD GREEN ONYX TRAVERTINE,Giada Opalino,green,onyx,marmo,emerald-green-onyx-travertine,giada-opalino,
CALACATTA PANAOZOO (II),Bianco Calacatta,white,marble,marmo,calacatta-panaozoo-ii,bianco-calacatta,
CALACATTA PANAOZOO (I),Crystal Calacatta,white,marble,marmo,calacatta-panaozoo-i,crystal-calacatta,
CALACATTA MONET,Snow Calacatta,white,marble,marmo,calacatta-monet,snow-calacatta,
AJAX II,Lunare Regale,white,marble,marmo,ajax-ii,lunare-regale,
BLACK CRYSTAL PATAGONIA,Polar Cristallo,white,quartzite,marmo,black-crystal-patagonia,polar-cristallo,
AVOCATUS,Emerald Gem,green,quartzite,marmo,avocatus,emerald-gem,
AMAZONITE,Malachite Gem,green,quartzite,marmo,amazonite,malachite-gem,
Crystal Onyx,Antico Opalino,unknown,unknown,marmo,crystal-onyx,antico-opalino,
Green Onyx (II),Heritage Opalino,unknown,unknown,marmo,green-onyx-ii,heritage-opalino,
Novana Travertine,Classic Prime,unknown,unknown,marmo,novana-travertine,classic-prime,
Santorini (III),Lusso Prime,unknown,unknown,marmo,santorini-iii,lusso-prime,
Santorini (I),Elegante Opulente,unknown,unknown,marmo,santorini-i,elegante-opulente,
Le Fiemma,Heritage Artisan,unknown,unknown,marmo,le-fiemma,heritage-artisan,
Zumaia Blue,Prestige Opulente,unknown,unknown,marmo,zumaia-blue,prestige-opulente,
Volupia,Antico Regal,unknown,unknown,marmo,volupia,antico-regal,
Crystal Tiffany,Classic Cristallo,unknown,unknown,marmo,crystal-tiffany,classic-cristallo,
Pandora,Grand Eccellente,unknown,unknown,marmo,pandora,grand-eccellente,
Aquarella,Nobile Pregiato,unknown,unknown,marmo,aquarella,nobile-pregiato,
Roma Imperial,Heritage Imperiale,unknown,unknown,marmo,roma-imperial,heritage-imperiale,
Tempest Green,Lusso Raffinato,unknown,unknown,marmo,tempest-green,lusso-raffinato,
Rosso Coral Quartzite,Lusso Corallo,unknown,unknown,marmo,rosso-coral-quartzite,lusso-corallo,
Chinese Mountain,Elegante Alpino,unknown,unknown,marmo,chinese-mountain,elegante-alpino,
Patagonia Green,Imperial Prestige II,unknown,unknown,marmo,patagonia-green,imperial-prestige-ii,
Volakas (ii),Nobile Grand II,unknown,unknown,marmo,volakas-ii,nobile-grand-ii,
Louis Blue,Regio Elite II,unknown,unknown,marmo,louis-blue,regio-elite-ii,
Fossil Black,Classic Fossile,unknown,unknown,marmo,fossil-black,classic-fossile,
3D Grey,Prestige Opulente II,unknown,unknown,marmo,3d-grey,prestige-opulente-ii,
SODALITE BLUE (ii),Celeste Facet,blue,quartzite,marmo,sodalite-blue-ii,celeste-facet,
MONTEBELLO,Mogano Radiant,brown,quartzite,marmo,montebello,mogano-radiant,
Tiger Onyx,Grano Opalino,yellow,onyx,marmo,tiger-onyx,grano-opalino,
Red Onyx,Rosso Opalino,red,onyx,marmo,red-onyx,rosso-opalino,
Orange Onyx,Copper Opalino,orange,onyx,marmo,orange-onyx,copper-opalino,
Onyx Travertine,Mocha Opalino,brown,onyx,marmo,onyx-travertine,mocha-opalino,
Honey Onyx,Citrine Opalino,yellow,onyx,marmo,honey-onyx,citrine-opalino,
Green Onyx (I),Sage Opalino,green,onyx,marmo,green-onyx-i,sage-opalino,
Crystal White Onyx,Snow Opalino,white,onyx,marmo,crystal-white-onyx,snow-opalino,
Blue Onyx,Lagoon Opalino,blue,onyx,marmo,blue-onyx,lagoon-opalino,
Blue Ice Onyx,Celeste Opalino,blue,onyx,marmo,blue-ice-onyx,celeste-opalino,
Aravali Onyx,Ardesia Opalino,grey,onyx,marmo,aravali-onyx,ardesia-opalino,
Silver Brown Travertine,Mocha Argento,brown,travertine,marmo,silver-brown-travertine,mocha-argento,
Yellow Travertine,Arancio Campestre,orange,travertine,marmo,yellow-travertine,arancio-campestre,
Walnut Travertine,Walnut Arcaico,brown,travertine,marmo,walnut-travertine,walnut-arcaico,
Dark Silver Travertine,Chestnut Argento,brown,travertine,marmo,dark-silver-travertine,chestnut-argento,
Red Travertine,Garnet Classico,red,travertine,marmo,red-travertine,garnet-classico,
Platinum Travertine,Teak Imperiale,brown,travertine,marmo,platinum-travertine,teak-imperiale,
Chestnut Travertine,Indigo Romano,blue,travertine,marmo,chestnut-travertine,indigo-romano,
Blue Ocean Travertine,Lagoon Oceano,blue,travertine,marmo,blue-ocean-travertine,lagoon-oceano,
Blue Travertine,Celeste Heritage,blue,travertine,marmo,blue-travertine,celeste-heritage,
Tiger Travertine,Marina Tigrato,blue,travertine,marmo,tiger-travertine,marina-tigrato,
Silver Travertine,Riflesso Argento,silver,travertine,marmo,silver-travertine,riflesso-argento,
Classico Travertine,Avorio Classico,cream,travertine,marmo,classico-travertine,avorio-classico,
Beige Travertine,Sand Antico,beige,travertine,marmo,beige-travertine,sand-antico,
Volga Blue,Obsidian Bedrock,black,granite,marmo,volga-blue,obsidian-bedrock,
Verde Uba Tuba,Malachite Massif,green,granite,marmo,verde-uba-tuba,malachite-massif,
Platinum Black,Carbon Crest,black,granite,marmo,platinum-black,carbon-crest,
Monte Carlo,Snow Upland,white,granite,marmo,monte-carlo,snow-upland,
Marisma,Malachite Plateau,green,granite,marmo,marisma,malachite-plateau,
Mari Blue,Celeste Tableland,blue,granite,marmo,mari-blue,celeste-tableland,
Labrador,Mogano Escarp,brown,granite,marmo,labrador,mogano-escarp,
Kashmir White,Lunare Cenere,white,granite,marmo,kashmir-white,lunare-cenere,
Juparana,Bianco Lusso,white,unknown,marmo,juparana,bianco-lusso,
Gran Delicatus,Ivory Ridge,cream,granite,marmo,gran-delicatus,ivory-ridge,
Emarald Pearl,Obsidian Perla,black,granite,marmo,emarald-pearl,obsidian-perla,
Black Galaxy,Eclipse Galattico,black,granite,marmo,black-galaxy,eclipse-galattico,
Black Cosmic,Ebano Summit,black,granite,marmo,black-cosmic,ebano-summit,
Verde Butterfly,Carbon Fastness,black,granite,marmo,verde-butterfly,carbon-fastness,
Viscont White,Ash Massif,grey,granite,marmo,viscont-white,ash-massif,
Via Lattea,Ebano Bedrock,black,granite,marmo,via-lattea,ebano-bedrock,
Titanium,Oscuro Radiant,black,quartzite,marmo,titanium,oscuro-radiant,
Maori,Abisso Crest,black,granite,marmo,maori,abisso-crest,
Lemurian Blue,Nero Upland,black,granite,marmo,lemurian-blue,nero-upland,
Gold Sparkles,Crystal Dorato,white,granite,marmo,gold-sparkles,crystal-dorato,
Delicatus,Vanilla Tableland,cream,granite,marmo,delicatus,vanilla-tableland,
Cosmic Silver,Eclipse Argento,black,granite,marmo,cosmic-silver,eclipse-argento,
Cosmic Gold,Carbon Dorato,black,granite,marmo,cosmic-gold,carbon-dorato,
Blue Pearl,Indigo Perla,blue,granite,marmo,blue-pearl,indigo-perla,
Azul Imperial,Ash Imperiale,grey,granite,marmo,azul-imperial,ash-imperiale,
Swizz Alps,Neve Prisma,white,quartzite,marmo,swizz-alps,neve-prisma,
Silver Silk,Cromo Argento,silver,quartzite,marmo,silver-silk,cromo-argento,
Patagonia Arancia,Castagno Fusion,brown,quartzite,marmo,patagonia-arancia,castagno-fusion,
Palladium Green,Verde Sparkle,green,quartzite,marmo,palladium-green,verde-sparkle,
Matrix,Storm Glimmer,grey,quartzite,marmo,matrix,storm-glimmer,
Matrix II,Slate Facet,grey,quartzite,marmo,matrix-ii,slate-facet,
Marine Blue,Pacific Oceano,blue,quartzite,marmo,marine-blue,pacific-oceano,
Marinace,Carbon Lumina,black,quartzite,marmo,marinace,carbon-lumina,
Joya Blue,Indigo Brillante,blue,quartzite,marmo,joya-blue,indigo-brillante,
Invisible Fantasy,Cenere Lumina,grey,quartzite,marmo,invisible-fantasy,cenere-lumina,
Iron Red,Pietra Risplendente,grey,quartzite,marmo,iron-red,pietra-risplendente,
Grey Fantasy,Ardesia Nitido,grey,quartzite,marmo,grey-fantasy,ardesia-nitido,
Green Turtle,Grand Scintilla,unknown,quartzite,marmo,green-turtle,grand-scintilla,
Cristallo,Bianco Cristallo,white,quartzite,marmo,cristallo,bianco-cristallo,
Calcite Azul,Sapphire Gem,blue,quartzite,marmo,calcite-azul,sapphire-gem,
Botanic Green,Jade Prisma,green,quartzite,marmo,botanic-green,jade-prisma,
Blue Roma,Lagoon Gem,blue,quartzite,marmo,blue-roma,lagoon-gem,
Bethany Blue,Celeste Prisma,blue,quartzite,marmo,bethany-blue,celeste-prisma,
